zpid,id,detailUrl,address,addressStreet,Zipcode,number of bedrooms,number of bathrooms,area,price,latitude,longitude
224761478,224761478,https://www.zillow.com/homedetails/201-S-Doty-St-Stillwater-OK-74074/224761478_zpid/,"201 S Doty St, Stillwater, OK 74074",201 S Doty St,74074,3,2,1512,112000,36.12123,-97.04281
2064230138,2064230138,https://www.zillow.com/homedetails/251-W-Miller-Ave-401-Stillwater-OK-74075/2064230138_zpid/,"251 W Miller Ave #401, Stillwater, OK 74075",251 W Miller Ave #401,74075,4,4,1258,175000,0.0,0.0
2068027715,2068027715,https://www.zillow.com/homedetails/120-W-Tyler-Ave-Stillwater-OK-74075/2068027715_zpid/,"120 W Tyler Ave, Stillwater, OK 74075",120 W Tyler Ave,74075,8,4,4488,920000,0.0,0.0
224758376,224758376,https://www.zillow.com/homedetails/1800-S-Berkshire-Dr-Stillwater-OK-74074/224758376_zpid/,"1800 S Berkshire Dr, Stillwater, OK 74074",1800 S Berkshire Dr,74074,3,2,1958,199900,36.10256,-97.113655
224759638,224759638,https://www.zillow.com/homedetails/2619-S-Black-Oak-Dr-Stillwater-OK-74074/224759638_zpid/,"2619 S Black Oak Dr, Stillwater, OK 74074",2619 S Black Oak Dr,74074,4,3,2789,355000,36.09302,-97.099014
224761916,224761916,https://www.zillow.com/homedetails/900-W-Parkway-Dr-Stillwater-OK-74075/224761916_zpid/,"900 W Parkway Dr, Stillwater, OK 74075",900 W Parkway Dr,74075,2,2,1089,214000,36.15323,-97.070244
224765672,224765672,https://www.zillow.com/homedetails/814-S-Stanley-St-Stillwater-OK-74074/224765672_zpid/,"814 S Stanley St, Stillwater, OK 74074",814 S Stanley St,74074,3,2,1066,70000,36.11277,-97.07512
224769845,224769845,https://www.zillow.com/homedetails/3310-S-Black-Oak-Dr-Stillwater-OK-74074/224769845_zpid/,"3310 S Black Oak Dr, Stillwater, OK 74074",3310 S Black Oak Dr,74074,4,3,2194,440000,36.08537,-97.10017
248776481,248776481,https://www.zillow.com/homedetails/4503-W-Prescot-Dr-Stillwater-OK-74074/248776481_zpid/,"4503 W Prescot Dr, Stillwater, OK 74074",4503 W Prescot Dr,74074,3,2,1388,229000,36.108894,-97.118416
331429150,331429150,https://www.zillow.com/homedetails/421-E-Pams-Dr-Perkins-OK-74059/331429150_zpid/,"421 E Pams Dr, Perkins, OK 74059",421 E Pams Dr,74059,3,3,2115,297500,36.045097,-97.07748
